Year,Class,Total Grades,"D, F, W Grades",% DFW
2003,COM S 252X,22.0,0.0,0.0
2003,COM S 290,2.0,1.0,50.0
2003,COM S 309,155.0,4.0,3.0
2003,COM S 311,86.5,23.0,27.0
2003,COM S 321,59.0,4.0,7.0
2003,COM S 330,58.0,2.0,3.0
2003,COM S 331,71.0,23.0,32.0
2003,COM S 342,59.0,16.0,27.0
2003,COM S 352,56.0,9.0,16.0
2003,COM S 362,47.0,5.0,11.0
2003,COM S 363,38.5,4.0,7.5
2003,COM S 401,24.0,0.0,0.0
2003,COM S 426,1.0,0.0,0.0
2003,COM S 430,58.0,9.0,16.0
2003,COM S 455,2.0,0.0,0.0
2003,COM S 461,23.0,0.0,0.0
2003,COM S 471,1.0,0.0,0.0
2003,COM S 472,13.0,1.0,8.0
2003,COM S 474,4.0,1.0,25.0
2003,COM S 477,2.0,0.0,0.0
2003,COM S 481,3.0,0.0,0.0
2003,COM S 490,2.0,0.0,0.0
2003,COMST 101,188.5,12.0,5.0
2003,COMST 102,35.0,1.5,4.0
2003,COMST 203,24.5,0.5,1.5
2003,COMST 218,32.0,0.0,0.0
2003,COMST 301,25.5,1.0,3.0
2003,COMST 311,34.0,2.0,6.0
2003,COMST 314,30.0,2.0,7.0
2003,COMST 317,23.5,0.5,1.5
2003,COMST 325,32.0,2.0,6.0
2003,COMST 404A,22.0,0.0,0.0
2003,COMST 404D,22.0,0.0,0.0
2003,COMST 490,2.0,0.0,0.0
2003,COMST 499,1.0,0.0,0.0
2003,CON E 210,77.0,5.0,6.0
2003,CON E 221,37.0,2.0,5.0
2003,CON E 241,36.0,1.0,3.0
2003,CON E 245,39.0,0.0,0.0
2003,CON E 322,28.0,2.0,7.0
2003,CON E 340,29.0,1.0,3.0
2003,CON E 351,24.0,0.0,0.0
2003,CON E 380,36.0,5.0,14.0
2003,CON E 421,32.0,0.0,0.0
2003,CON E 441,33.0,0.0,0.0
2003,CON E 461,31.0,1.0,3.0
2003,CON E 490,27.0,3.0,11.0
2003,CPR E 185,166.0,18.0,11.0
2003,CPR E 210,119.5,30.5,20.5
2003,CPR E 211,72.5,7.5,7.0
2003,CPR E 305,136.0,6.0,4.0
2003,CPR E 308,106.0,11.0,10.0
2003,CPR E 310,70.0,1.0,1.0
2003,CPR E 370,24.0,1.0,4.0
2003,CPR E 426,7.0,1.0,14.0
2003,CPR E 434,14.0,3.0,21.0
2003,CPR E 458,28.0,5.0,18.0
2003,CPR E 486,47.0,3.0,6.0
