,major, class
9448,Construction Engineering- B.S. mechanical emphasis,I E 305
9449,Construction Engineering- B.S. mechanical emphasis,C E 332
9450,Construction Engineering- B.S. mechanical emphasis,E M 327
9451,Construction Engineering- B.S. mechanical emphasis,CON E 422
9452,Construction Engineering- B.S. mechanical emphasis,CON E 487
9453,Construction Engineering- B.S. mechanical emphasis,CON E 441
9454,Construction Engineering- B.S. mechanical emphasis,CON E 488
9455,Construction Engineering- B.S. mechanical emphasis,C E 382
9456,Construction Engineering- B.S. mechanical emphasis,C E 334
9457,Construction Engineering- B.S. mechanical emphasis,C E 333
9458,Construction Engineering- B.S. mechanical emphasis,ENGR 101
9459,Construction Engineering- B.S. mechanical emphasis,C E 170
9460,Construction Engineering- B.S. mechanical emphasis,C E 160
9461,Construction Engineering- B.S. mechanical emphasis,MATH 166
9462,Construction Engineering- B.S. mechanical emphasis,MATH 165
9463,Construction Engineering- B.S. mechanical emphasis,PHYS 221
9464,Construction Engineering- B.S. mechanical emphasis,CHEM 167
9465,Construction Engineering- B.S. mechanical emphasis,ENGL 250
9466,Construction Engineering- B.S. mechanical emphasis,ENGL 150
9467,Construction Engineering- B.S. mechanical emphasis,CON E 122
9468,Construction Engineering- B.S. mechanical emphasis,CON E 121
9469,Construction Engineering- B.S. mechanical emphasis,LIB 160
9470,Construction Engineering- B.S. mechanical emphasis,CON E 222
9471,Construction Engineering- B.S. mechanical emphasis,CON E 241
9472,Construction Engineering- B.S. mechanical emphasis,C E 111
9473,Construction Engineering- B.S. mechanical emphasis,CON E 251
9474,Construction Engineering- B.S. mechanical emphasis,PHYS 222
9475,Construction Engineering- B.S. mechanical emphasis,MATH 267
9476,Construction Engineering- B.S. mechanical emphasis,M E 231
9477,Construction Engineering- B.S. mechanical emphasis,E E 442
9478,Construction Engineering- B.S. mechanical emphasis,CON E 352
9479,Construction Engineering- B.S. mechanical emphasis,CON E 353
9480,Construction Engineering- B.S. mechanical emphasis,E M 378
9481,Construction Engineering- B.S. mechanical emphasis,E M 324
9482,Construction Engineering- B.S. mechanical emphasis,C E 332
9483,Construction Engineering- B.S. mechanical emphasis,I E 305
9484,Construction Engineering- B.S. mechanical emphasis,CON E 422
9485,Construction Engineering- B.S. mechanical emphasis,CON E 487
9486,Construction Engineering- B.S. mechanical emphasis,CON E 441
9487,Construction Engineering- B.S. mechanical emphasis,CON E 488
9488,Construction Engineering- B.S. mechanical emphasis,M E 436
9489,Construction Engineering- B.S. mechanical emphasis,M E 442
9490,Construction Engineering- B.S. mechanical emphasis,M E 441
9491,Construction Engineering- B.S. mechanical emphasis,C E 501
9492,Construction Engineering- B.S. mechanical emphasis,C E 502
9493,Construction Engineering- B.S. mechanical emphasis,C E 503
9494,Construction Engineering- B.S. mechanical emphasis,C E 505
9495,Construction Engineering- B.S. mechanical emphasis,C E 594A
9496,Construction Engineering- B.S. mechanical emphasis,C E 594N
9497,Construction Engineering- B.S. mechanical emphasis,C E 594O
9498,Construction Engineering- B.S. mechanical emphasis,C E 594P
9499,Electrical Engineering- B.S.,ENGL 150
9500,Electrical Engineering- B.S.,ENGL 250
9501,Electrical Engineering- B.S.,LIB 160
9502,Electrical Engineering- B.S.,ENGL 314
9503,Electrical Engineering- B.S.,ENGL 309
9504,Electrical Engineering- B.S.,CHEM 167
9505,Electrical Engineering- B.S.,ENGL 150
9506,Electrical Engineering- B.S.,ENGL 250
9507,Electrical Engineering- B.S.,ENGR 101
9508,Electrical Engineering- B.S.,E E 185
9509,Electrical Engineering- B.S.,LIB 160
9510,Electrical Engineering- B.S.,MATH 165
9511,Electrical Engineering- B.S.,MATH 166
9512,Electrical Engineering- B.S.,PHYS 221
9513,Electrical Engineering- B.S.,MATH 265
9514,Electrical Engineering- B.S.,MATH 267
9515,Electrical Engineering- B.S.,MATH 207
9516,Electrical Engineering- B.S.,PHYS 222
9517,Electrical Engineering- B.S.,E E 285
9518,Electrical Engineering- B.S.,CPR E 281
9519,Electrical Engineering- B.S.,CPR E 288
9520,Electrical Engineering- B.S.,E E 201
9521,Electrical Engineering- B.S.,E E 230
9522,Electrical Engineering- B.S.,E E 224
9523,Electrical Engineering- B.S.,E E 303
9524,Electrical Engineering- B.S.,E E 311
9525,Electrical Engineering- B.S.,E E 322
9526,Electrical Engineering- B.S.,E E 321
9527,Electrical Engineering- B.S.,E E 324
9528,Electrical Engineering- B.S.,E E 330
9529,Electrical Engineering- B.S.,E E 332
9530,Electrical Engineering- B.S.,E E 491
9531,Electrical Engineering- B.S.,E E 492
9532,Electrical Engineering- B.S.,I E 305
9533,Electrical Engineering- B.S.,ENGL 309
9534,Electrical Engineering- B.S.,ENGL 314
9535,Electrical Engineering- B.S.,E E 166
9536,Electrical Engineering- B.S.,E E 294
9537,Electrical Engineering- B.S.,E E 394
9538,Electrical Engineering- B.S.,E E 494
9539,Electrical Engineering- B.S.,ENGR 101
9540,Electrical Engineering- B.S.,MATH 166
9541,Electrical Engineering- B.S.,E E 185
9542,Electrical Engineering- B.S.,PHYS 221
9543,Electrical Engineering- B.S.,MATH 165
9544,Electrical Engineering- B.S.,E E 285
9545,Electrical Engineering- B.S.,CHEM 167
9546,Electrical Engineering- B.S.,E E 166
9547,Electrical Engineering- B.S.,ENGL 150
9548,Electrical Engineering- B.S.,LIB 160
9549,Electrical Engineering- B.S.,E E 201
9550,Electrical Engineering- B.S.,CPR E 281
9551,Electrical Engineering- B.S.,PHYS 222
9552,Electrical Engineering- B.S.,E E 230
9553,Electrical Engineering- B.S.,E E 294
9554,Electrical Engineering- B.S.,E E 224
9555,Electrical Engineering- B.S.,MATH 267
9556,Electrical Engineering- B.S.,MATH 265
9557,Electrical Engineering- B.S.,ENGL 250
9558,Electrical Engineering- B.S.,CPR E 288
9559,Electrical Engineering- B.S.,E E 303
9560,Electrical Engineering- B.S.,E E 311
9561,Electrical Engineering- B.S.,E E 322
9562,Electrical Engineering- B.S.,MATH 207
9563,Electrical Engineering- B.S.,E E 394
9564,Electrical Engineering- B.S.,E E 491
9565,Electrical Engineering- B.S.,E E 492
9566,Electrical Engineering- B.S.,E E 494
9567,Electrical Engineering- B.S.,I E 305
9568,Industrial Engineering- B.S.,I E 450
9569,Industrial Engineering- B.S.,I E 451
9570,Industrial Engineering- B.S.,MKT 340
9571,Industrial Engineering- B.S.,MKT 343
9572,Industrial Engineering- B.S.,I E 305
9573,Industrial Engineering- B.S.,FIN 301
9574,Industrial Engineering- B.S.,ENGL 150
9575,Industrial Engineering- B.S.,ENGL 250
9576,Industrial Engineering- B.S.,LIB 160
9577,Industrial Engineering- B.S.,ENGL 314
9578,Industrial Engineering- B.S.,SP CM 212
9579,Industrial Engineering- B.S.,CHEM 167
9580,Industrial Engineering- B.S.,ENGL 150
9581,Industrial Engineering- B.S.,ENGL 250
9582,Industrial Engineering- B.S.,ENGR 101
9583,Industrial Engineering- B.S.,I E 148
9584,Industrial Engineering- B.S.,LIB 160
9585,Industrial Engineering- B.S.,MATH 165
9586,Industrial Engineering- B.S.,MATH 166
9587,Industrial Engineering- B.S.,PHYS 221
9588,Industrial Engineering- B.S.,MATH 265
9589,Industrial Engineering- B.S.,MATH 267
9590,Industrial Engineering- B.S.,PHYS 222
9591,Industrial Engineering- B.S.,STAT 231
9592,Industrial Engineering- B.S.,I E 222
9593,Industrial Engineering- B.S.,I E 248
9594,Industrial Engineering- B.S.,I E 271
9595,Industrial Engineering- B.S.,I E 305
9596,Industrial Engineering- B.S.,I E 312
9597,Industrial Engineering- B.S.,I E 341
9598,Industrial Engineering- B.S.,I E 348
9599,Industrial Engineering- B.S.,I E 361
9600,Industrial Engineering- B.S.,I E 413
9601,Industrial Engineering- B.S.,I E 441
9602,Industrial Engineering- B.S.,I E 448
9603,Industrial Engineering- B.S.,MAT E 273
9604,Industrial Engineering- B.S.,E M 274
9605,Industrial Engineering- B.S.,E E 442
9606,Industrial Engineering- B.S.,M E 231
9607,Industrial Engineering- B.S.,I E 101
9608,Industrial Engineering- B.S.,I E 148
9609,Industrial Engineering- B.S.,MATH 165
9610,Industrial Engineering- B.S.,PHYS 221
9611,Industrial Engineering- B.S.,CHEM 167
9612,Industrial Engineering- B.S.,ENGL 150
9613,Industrial Engineering- B.S.,ENGR 101
9614,Industrial Engineering- B.S.,I E 101
9615,Industrial Engineering- B.S.,LIB 160
9616,Industrial Engineering- B.S.,MATH 265
9617,Industrial Engineering- B.S.,MATH 267
9618,Industrial Engineering- B.S.,I E 248
9619,Industrial Engineering- B.S.,STAT 231
9620,Industrial Engineering- B.S.,MAT E 273
9621,Industrial Engineering- B.S.,I E 222
9622,Industrial Engineering- B.S.,PHYS 222
9623,Industrial Engineering- B.S.,I E 271
9624,Industrial Engineering- B.S.,ENGL 250
9625,Industrial Engineering- B.S.,I E 305
9626,Industrial Engineering- B.S.,I E 341
9627,Industrial Engineering- B.S.,I E 312
9628,Industrial Engineering- B.S.,I E 348
9629,Industrial Engineering- B.S.,SP CM 212
9630,Industrial Engineering- B.S.,I E 361
9631,Industrial Engineering- B.S.,E M 274
9632,Industrial Engineering- B.S.,E E 442
9633,Industrial Engineering- B.S.,I E 413
9634,Industrial Engineering- B.S.,ENGL 314
9635,Industrial Engineering- B.S.,I E 441
9636,Industrial Engineering- B.S.,M E 231
9637,Industrial Engineering- B.S.,I E 448
9638,Materials Engineering- B.S.,ENGL 150
9639,Materials Engineering- B.S.,ENGL 250
9640,Materials Engineering- B.S.,LIB 160
9641,Materials Engineering- B.S.,ENGL 302
9642,Materials Engineering- B.S.,ENGL 309
9643,Materials Engineering- B.S.,ENGL 314
9644,Materials Engineering- B.S.,JL MC 347
9645,Materials Engineering- B.S.,CHEM 177
9646,Materials Engineering- B.S.,ENGL 150
9647,Materials Engineering- B.S.,ENGL 250
9648,Materials Engineering- B.S.,ENGR 101
9649,Materials Engineering- B.S.,ENGR 160
9650,Materials Engineering- B.S.,LIB 160
9651,Materials Engineering- B.S.,MATH 165
9652,Materials Engineering- B.S.,MATH 166
9653,Materials Engineering- B.S.,PHYS 221
9654,Materials Engineering- B.S.,CHEM 178
9655,Materials Engineering- B.S.,MATH 265
9656,Materials Engineering- B.S.,MATH 267
9657,Materials Engineering- B.S.,PHYS 222
9658,Materials Engineering- B.S.,MAT E 214
9659,Materials Engineering- B.S.,MAT E 215
9660,Materials Engineering- B.S.,MAT E 216
9661,Materials Engineering- B.S.,MAT E 311
9662,Materials Engineering- B.S.,MAT E 314
9663,Materials Engineering- B.S.,MAT E 317
9664,Materials Engineering- B.S.,MAT E 319
9665,Materials Engineering- B.S.,MAT E 413
9666,Materials Engineering- B.S.,MAT E 414
9667,Materials Engineering- B.S.,MAT E 418
9668,Materials Engineering- B.S.,MAT E 321
9669,Materials Engineering- B.S.,MAT E 322
9670,Materials Engineering- B.S.,MAT E 425
9671,Materials Engineering- B.S.,MAT E 433
9672,Materials Engineering- B.S.,MAT E 341
9673,Materials Engineering- B.S.,MAT E 342
9674,Materials Engineering- B.S.,MAT E 443
9675,Materials Engineering- B.S.,MAT E 444
9676,Materials Engineering- B.S.,MAT E 350
9677,Materials Engineering- B.S.,MAT E 351
9678,Materials Engineering- B.S.,MAT E 453
9679,Materials Engineering- B.S.,MAT E 454
9680,Materials Engineering- B.S.,STAT 305
9681,Materials Engineering- B.S.,MAT E 301
9682,Materials Engineering- B.S.,CHEM 177
9683,Materials Engineering- B.S.,CHEM 178
9684,Materials Engineering- B.S.,ENGL 150
9685,Materials Engineering- B.S.,MATH 166
9686,Materials Engineering- B.S.,ENGR 101
9687,Materials Engineering- B.S.,ENGR 160
9688,Materials Engineering- B.S.,MATH 165
9689,Materials Engineering- B.S.,LIB 160
9690,Materials Engineering- B.S.,MATH 265
9691,Materials Engineering- B.S.,MATH 267
9692,Materials Engineering- B.S.,MAT E 215
9693,Materials Engineering- B.S.,MAT E 214
9694,Materials Engineering- B.S.,PHYS 221
9695,Materials Engineering- B.S.,ENGL 250
9696,Materials Engineering- B.S.,PHYS 222
9697,Materials Engineering- B.S.,MAT E 311
9698,Materials Engineering- B.S.,MAT E 301
9699,Materials Engineering- B.S.,MAT E 317
9700,Materials Engineering- B.S.,MAT E 314
9701,Materials Engineering- B.S.,MAT E 319
9702,Materials Engineering- B.S.,MAT E 413
9703,Materials Engineering- B.S.,MAT E 414
9704,Materials Engineering- B.S.,MAT E 418
9705,Mechanical Engineering- B.S.,ENGL 150
9706,Mechanical Engineering- B.S.,ENGL 250
9707,Mechanical Engineering- B.S.,LIB 160
9708,Mechanical Engineering- B.S.,ENGL 302
9709,Mechanical Engineering- B.S.,ENGL 309
9710,Mechanical Engineering- B.S.,ENGL 314
9711,Mechanical Engineering- B.S.,SP CM 212
9712,Mechanical Engineering- B.S.,ECON 101
9713,Mechanical Engineering- B.S.,CHEM 167
9714,Mechanical Engineering- B.S.,ENGL 150
9715,Mechanical Engineering- B.S.,ENGL 250
9716,Mechanical Engineering- B.S.,ENGR 101
9717,Mechanical Engineering- B.S.,M E 160
9718,Mechanical Engineering- B.S.,LIB 160
9719,Mechanical Engineering- B.S.,MATH 165
9720,Mechanical Engineering- B.S.,MATH 166
9721,Mechanical Engineering- B.S.,PHYS 221
9722,Mechanical Engineering- B.S.,MATH 265
9723,Mechanical Engineering- B.S.,MATH 267
9724,Mechanical Engineering- B.S.,MATH 266
9725,Mechanical Engineering- B.S.,PHYS 222
9726,Mechanical Engineering- B.S.,E M 274
9727,Mechanical Engineering- B.S.,E M 324
9728,Mechanical Engineering- B.S.,MAT E 273
9729,Mechanical Engineering- B.S.,M E 231
9730,Mechanical Engineering- B.S.,E M 345
9731,Mechanical Engineering- B.S.,E E 442
9732,Mechanical Engineering- B.S.,E E 448
9733,Mechanical Engineering- B.S.,M E 270
9734,Mechanical Engineering- B.S.,M E 324
9735,Mechanical Engineering- B.S.,M E 325
9736,Mechanical Engineering- B.S.,M E 332
9737,Mechanical Engineering- B.S.,M E 335
9738,Mechanical Engineering- B.S.,M E 370
9739,Mechanical Engineering- B.S.,M E 421
9740,Mechanical Engineering- B.S.,M E 436
9741,Mechanical Engineering- B.S.,M E 415
9742,Mechanical Engineering- B.S.,M E 442
9743,Mechanical Engineering- B.S.,M E 466
9744,Mechanical Engineering- B.S.,M E 486
9745,Mechanical Engineering- B.S.,M E 170
9746,Mechanical Engineering- B.S.,STAT 305
9747,Mechanical Engineering- B.S.,ENGL 302
9748,Mechanical Engineering- B.S.,ENGL 309
9749,Mechanical Engineering- B.S.,ENGL 314
9750,Mechanical Engineering- B.S.,SP CM 212
9751,Mechanical Engineering- B.S.,M E 202
9752,Mechanical Engineering- B.S.,ECON 380
9753,Mechanical Engineering- B.S.,E E 351
9754,Mechanical Engineering- B.S.,A B E 325
9755,Mechanical Engineering- B.S.,A B E 342
9756,Mechanical Engineering- B.S.,A B E 363
9757,Mechanical Engineering- B.S.,A B E 380
9758,Mechanical Engineering- B.S.,A B E 413
9759,Mechanical Engineering- B.S.,A B E 472
9760,Mechanical Engineering- B.S.,A B E 480
9761,Mechanical Engineering- B.S.,A B E 572
9762,Mechanical Engineering- B.S.,A B E 580
9763,Mechanical Engineering- B.S.,AER E 381
9764,Mechanical Engineering- B.S.,AER E 481
9765,Mechanical Engineering- B.S.,AER E 570
9766,Mechanical Engineering- B.S.,BRT 501
9767,Mechanical Engineering- B.S.,BRT 515
9768,Mechanical Engineering- B.S.,BRT 516
9769,Mechanical Engineering- B.S.,BRT 535
9770,Mechanical Engineering- B.S.,CH E 356
9771,Mechanical Engineering- B.S.,CH E 357
9772,Mechanical Engineering- B.S.,CH E 358
9773,Mechanical Engineering- B.S.,CH E 381
9774,Mechanical Engineering- B.S.,CH E 382
9775,Mechanical Engineering- B.S.,CH E 415
9776,Mechanical Engineering- B.S.,CH E 515
9777,Mechanical Engineering- B.S.,CH E 554
9778,Mechanical Engineering- B.S.,CH E 583
9779,Mechanical Engineering- B.S.,CH E 587
9780,Mechanical Engineering- B.S.,C E 440
9781,Mechanical Engineering- B.S.,C E 540
9782,Mechanical Engineering- B.S.,CON E 352
9783,Mechanical Engineering- B.S.,CON E 353
9784,Mechanical Engineering- B.S.,CON E 354
9785,Mechanical Engineering- B.S.,E E 303
9786,Mechanical Engineering- B.S.,E E 448
9787,Mechanical Engineering- B.S.,E E 452
9788,Mechanical Engineering- B.S.,E E 455
9789,Mechanical Engineering- B.S.,E E 456
9790,Mechanical Engineering- B.S.,E E 457
9791,Mechanical Engineering- B.S.,E E 458
9792,Mechanical Engineering- B.S.,E E 459
9793,Mechanical Engineering- B.S.,E E 552
9794,Mechanical Engineering- B.S.,E E 553
9795,Mechanical Engineering- B.S.,E E 554
9796,Mechanical Engineering- B.S.,E E 555
9797,Mechanical Engineering- B.S.,E E 556
9798,Mechanical Engineering- B.S.,E E 559
9799,Mechanical Engineering- B.S.,E M 570
9800,Mechanical Engineering- B.S.,ECON 458
9801,Mechanical Engineering- B.S.,ENGR 340
9802,Mechanical Engineering- B.S.,I E 543
9803,Mechanical Engineering- B.S.,M E 332
9804,Mechanical Engineering- B.S.,M E 335
9805,Mechanical Engineering- B.S.,M E 413
9806,Mechanical Engineering- B.S.,M E 433
9807,Mechanical Engineering- B.S.,M E 436
9808,Mechanical Engineering- B.S.,M E 437
9809,Mechanical Engineering- B.S.,M E 441
9810,Mechanical Engineering- B.S.,M E 442
9811,Mechanical Engineering- B.S.,M E 444
9812,Mechanical Engineering- B.S.,M E 448
9813,Mechanical Engineering- B.S.,M E 449
9814,Mechanical Engineering- B.S.,M E 530
9815,Mechanical Engineering- B.S.,M E 532
9816,Mechanical Engineering- B.S.,M E 535
9817,Mechanical Engineering- B.S.,M E 536
9818,Mechanical Engineering- B.S.,M E 538
9819,Mechanical Engineering- B.S.,M E 539
9820,Mechanical Engineering- B.S.,M E 542
9821,Mechanical Engineering- B.S.,M E 545
9822,Mechanical Engineering- B.S.,M S E 520
9823,Mechanical Engineering- B.S.,MAT E 311
9824,Mechanical Engineering- B.S.,NUC E 401
9825,Mechanical Engineering- B.S.,NUC E 421
9826,Mechanical Engineering- B.S.,NUC E 441
9827,Mechanical Engineering- B.S.,NUC E 461
9828,Mechanical Engineering- B.S.,NUC E 401
9829,Mechanical Engineering- B.S.,NUC E 402
9830,Mechanical Engineering- B.S.,NUC E 405
9831,Mechanical Engineering- B.S.,NUC E 421
9832,Mechanical Engineering- B.S.,NUC E 430
9833,Mechanical Engineering- B.S.,NUC E 441
9834,Mechanical Engineering- B.S.,NUC E 461
9835,Mechanical Engineering- B.S.,NUC E 490
9836,Mechanical Engineering- B.S.,CHEM 167
9837,Mechanical Engineering- B.S.,ENGL 150
9838,Mechanical Engineering- B.S.,M E 160
9839,Mechanical Engineering- B.S.,M E 170
9840,Mechanical Engineering- B.S.,MATH 165
9841,Mechanical Engineering- B.S.,MATH 166
9842,Mechanical Engineering- B.S.,ENGR 101
9843,Mechanical Engineering- B.S.,PHYS 221
9844,Mechanical Engineering- B.S.,E M 274
9845,Mechanical Engineering- B.S.,E M 324
9846,Mechanical Engineering- B.S.,MAT E 273
9847,Mechanical Engineering- B.S.,MATH 267
9848,Mechanical Engineering- B.S.,MATH 265
9849,Mechanical Engineering- B.S.,M E 231
9850,Mechanical Engineering- B.S.,PHYS 222
9851,Mechanical Engineering- B.S.,M E 270
9852,Mechanical Engineering- B.S.,ENGL 250
9853,Mechanical Engineering- B.S.,M E 202
9854,Mechanical Engineering- B.S.,E E 442
9855,Mechanical Engineering- B.S.,M E 325
9856,Mechanical Engineering- B.S.,E E 448
9857,Mechanical Engineering- B.S.,M E 335
9858,Mechanical Engineering- B.S.,E M 345
9859,Mechanical Engineering- B.S.,M E 370
9860,Mechanical Engineering- B.S.,M E 332
9861,Mechanical Engineering- B.S.,M E 324
9862,Mechanical Engineering- B.S.,STAT 305
9863,Mechanical Engineering- B.S.,M E 421
9864,Mechanical Engineering- B.S.,M E 436
9865,Software Engineering- B.S.,ENGL 150
9866,Software Engineering- B.S.,ENGL 250
9867,Software Engineering- B.S.,LIB 160
9868,Software Engineering- B.S.,ENGL 309
9869,Software Engineering- B.S.,ENGL 314
9870,Software Engineering- B.S.,ECON 101
9871,Software Engineering- B.S.,ECON 102
9872,Software Engineering- B.S.,I E 305
9873,Software Engineering- B.S.,CHEM 167
9874,Software Engineering- B.S.,ENGL 150
9875,Software Engineering- B.S.,ENGL 250
9876,Software Engineering- B.S.,S E 101
9877,Software Engineering- B.S.,S E 185
9878,Software Engineering- B.S.,LIB 160
9879,Software Engineering- B.S.,MATH 165
9880,Software Engineering- B.S.,MATH 166
9881,Software Engineering- B.S.,PHYS 221
9882,Software Engineering- B.S.,COM S 227
9883,Software Engineering- B.S.,COM S 228
9884,Software Engineering- B.S.,MATH 267
9885,Software Engineering- B.S.,CPR E 281
9886,Software Engineering- B.S.,COM S 327
9887,Software Engineering- B.S.,CPR E 288
9888,Software Engineering- B.S.,COM S 321
9889,Software Engineering- B.S.,CPR E 381
9890,Software Engineering- B.S.,COM S 352
9891,Software Engineering- B.S.,CPR E 308
9892,Software Engineering- B.S.,COM S 230
9893,Software Engineering- B.S.,CPR E 310
9894,Software Engineering- B.S.,COM S 311
9895,Software Engineering- B.S.,COM S 363
9896,Software Engineering- B.S.,COM S 309
9897,Software Engineering- B.S.,S E 319
9898,Software Engineering- B.S.,S E 329
9899,Software Engineering- B.S.,S E 339
9900,Software Engineering- B.S.,S E 421
9901,Software Engineering- B.S.,S E 491
9902,Software Engineering- B.S.,S E 492
9903,Software Engineering- B.S.,SP CM 212
9904,Software Engineering- B.S.,STAT 330
9905,Software Engineering- B.S.,ENGL 309
9906,Software Engineering- B.S.,ENGL 314
9907,Software Engineering- B.S.,MATH 207
9908,Software Engineering- B.S.,MATH 265
9909,Software Engineering- B.S.,MATH 304
9910,Software Engineering- B.S.,MATH 314
9911,Software Engineering- B.S.,MATH 317
9912,Software Engineering- B.S.,S E 166
9913,Software Engineering- B.S.,S E 494
9914,Software Engineering- B.S.,MATH 165
9915,Software Engineering- B.S.,COM S 227
9916,Software Engineering- B.S.,ENGL 150
9917,Software Engineering- B.S.,MATH 166
9918,Software Engineering- B.S.,S E 101
9919,Software Engineering- B.S.,S E 166
9920,Software Engineering- B.S.,LIB 160
9921,Software Engineering- B.S.,PHYS 221
9922,Software Engineering- B.S.,S E 185
9923,Software Engineering- B.S.,CPR E 2811
9924,Software Engineering- B.S.,S E 3191
9925,Software Engineering- B.S.,ENGL 250
9926,Software Engineering- B.S.,MATH 267
9927,Software Engineering- B.S.,COM S 228
9928,Software Engineering- B.S.,SP CM 212
9929,Software Engineering- B.S.,COM S 3631
9930,Software Engineering- B.S.,S E 3291
9931,Software Engineering- B.S.,COM S 3091
9932,Software Engineering- B.S.,COM S 3111
9933,Software Engineering- B.S.,S E 494
9934,Software Engineering- B.S.,S E 492
9935,Software Engineering- B.S.,S E 491
9936,Software Engineering- B.S.,STAT 330
9937,Software Engineering- B.S.,S E 421
9938,Apparel Merchandising- Design B.S. - creative and technical design option,ENGL 302
9939,Apparel Merchandising- Design B.S. - creative and technical design option,ENGL 309
9940,Apparel Merchandising- Design B.S. - creative and technical design option,ENGL 314
9941,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 121
9942,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 131
9943,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 165
9944,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 178
9945,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 231
9946,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 245
9947,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 257
9948,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 275
9949,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 204
9950,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 231
9951,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 305
9952,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 404
9953,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 470N
9954,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 490A
9955,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 499
9956,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 275
9957,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 376
9958,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 475
9959,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 477
9960,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 287
9961,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 340
9962,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 342
9963,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 470N
9964,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 474
9965,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 165
9966,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 245
9967,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 372
9968,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 377
9969,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 467
9970,Apparel Merchandising- Design B.S. - creative and technical design option,ENGL 150
9971,Apparel Merchandising- Design B.S. - creative and technical design option,ENGL 250
9972,Apparel Merchandising- Design B.S. - creative and technical design option,LIB 160
9973,Apparel Merchandising- Design B.S. - creative and technical design option,COMST 214
9974,Apparel Merchandising- Design B.S. - creative and technical design option,COMST 218
9975,Apparel Merchandising- Design B.S. - creative and technical design option,SP CM 212
9976,Apparel Merchandising- Design B.S. - creative and technical design option,STAT 101
9977,Apparel Merchandising- Design B.S. - creative and technical design option,STAT 104
9978,Apparel Merchandising- Design B.S. - creative and technical design option,STAT 226
9979,Apparel Merchandising- Design B.S. - creative and technical design option,ECON 101
9980,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 165
9981,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 354
9982,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 356
9983,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 112
9984,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 113N
9985,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 311
9986,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 411
9987,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 470N
9988,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 380N
9989,Apparel Merchandising- Design B.S. - creative and technical design option,AESHM 381N
9990,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 131
9991,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 204
9992,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 210
9993,Apparel Merchandising- Design B.S. - creative and technical design option,COM S 113
9994,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 231
9995,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 245
9996,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 275
9997,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 372
9998,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 121
9999,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 178
10000,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 206
10001,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 225
10002,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 278
10003,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 310
10004,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 321
10005,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 325
10006,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 329
10007,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 415
10008,Apparel Merchandising- Design B.S. - creative and technical design option,A M D 495
